mojxml_prefcode,mojxml_org_name,mojxml_org_title,region,regional_bureau,prefecture,JIS_prefcode,kuwanauchi
01,moj-01hokkaido,01北海道,北海道地方,札幌法務局管内,北海道,01,kuwanauchi01hokkaido
02,moj-02aomori,02青森県,東北地方,仙台法務局管内,青森県,02,kuwanauchi02aomori
03,moj-03iwate,03岩手県,東北地方,仙台法務局管内,岩手県,03,kuwanauchi03iwate
04,moj-04miyagi,04宮城県,東北地方,仙台法務局管内,宮城県,04,kuwanauchi04miyagi
05,moj-05akita,05秋田県,東北地方,仙台法務局管内,秋田県,05,kuwanauchi05akita
06,moj-06yamagata,06山形県,東北地方,仙台法務局管内,山形県,06,kuwanauchi06yamagata
07,moj-07fukushima,07福島県,東北地方,仙台法務局管内,福島県,07,kuwanauchi07fukushima
08,moj-08ibaraki,08茨城県,関東甲信越静地方,東京法務局管内,茨城県,08,kuwanauchi08ibaraki
09,moj-09tochigi,09栃木県,関東甲信越静地方,東京法務局管内,栃木県,09,kuwanauchi09tochigi
10,moj-10gunma,10群馬県,関東甲信越静地方,東京法務局管内,群馬県,10,kuwanauchi10gumma
11,moj-11saitama,11埼玉県,関東甲信越静地方,東京法務局管内,埼玉県,11,kuwanauchi11saitama
12,moj-12chiba,12千葉県,関東甲信越静地方,東京法務局管内,千葉県,12,kuwanauchi12chiba
13,moj-13tokyo,13東京都,関東甲信越静地方,東京法務局管内,東京都,13,kuwanauchi13tokyo
14,moj-14kanagawa,14神奈川県,関東甲信越静地方,東京法務局管内,神奈川県,14,kuwanauchi14kanagawa
15,moj-15niigata,15新潟県,関東甲信越静地方,東京法務局管内,新潟県,15,kuwanauchi15niigata
16,moj-16yamanashi,16山梨県,関東甲信越静地方,東京法務局管内,山梨県,19,kuwanauchi19yamanashi
17,moj-17nagano,17長野県,関東甲信越静地方,東京法務局管内,長野県,20,kuwanauchi20nagano
18,moj-18shizuoka,18静岡県,関東甲信越静地方,東京法務局管内,静岡県,22,kuwanauchi22shizuoka
19,moj-19toyama,19富山県,中部地方,名古屋法務局管内,富山県,16,kuwanauchi16toyama
20,moj-20ishikawa,20石川県,中部地方,名古屋法務局管内,石川県,17,kuwanauchi17ishikawa
21,moj-21fukui,21福井県,中部地方,名古屋法務局管内,福井県,18,kuwanauchi18fukui
22,moj-22gifu,22岐阜県,中部地方,名古屋法務局管内,岐阜県,21,kuwanauchi21gifu
23,moj-23aichi,23愛知県,中部地方,名古屋法務局管内,愛知県,23,kuwanauchi23aichi
24,moj-24mie,24三重県,中部地方,名古屋法務局管内,三重県,24,kuwanauchi24mie
25,moj-25shiga,25滋賀県,近畿地方,大阪法務局管内,滋賀県,25,kuwanauchi25shiga
26,moj-26kyoto,26京都府,近畿地方,大阪法務局管内,京都府,26,kuwanauchi26kyoto
27,moj-27osaka,27大阪府,近畿地方,大阪法務局管内,大阪府,27,kuwanauchi27osaka
28,moj-28hyogo,28兵庫県,近畿地方,大阪法務局管内,兵庫県,28,kuwanauchi28hyogo
29,moj-29nara,29奈良県,近畿地方,大阪法務局管内,奈良県,29,kuwanauchi29nara
30,moj-30wakayama,30和歌山県,近畿地方,大阪法務局管内,和歌山県,30,kuwanauchi30wakayama
31,moj-31tottori,31鳥取県,中国地方,広島法務局管内,鳥取県,31,kuwanauchi31tottori
32,moj-32shimane,32島根県,中国地方,広島法務局管内,島根県,32,kuwanauchi32shimane
33,moj-33okayama,33岡山県,中国地方,広島法務局管内,岡山県,33,kuwanauchi33okayama
34,moj-34hiroshima,34広島県,中国地方,広島法務局管内,広島県,34,kuwanauchi34hiroshima
35,moj-35yamaguchi,35山口県,中国地方,広島法務局管内,山口県,35,kuwanauchi35yamaguchi
36,moj-36tokushima,36徳島県,四国地方,高松法務局管内,徳島県,36,kuwanauchi36tokushima
37,moj-37kagawa,37香川県,四国地方,高松法務局管内,香川県,37,kuwanauchi37kagawa
38,moj-38ehime,38愛媛県,四国地方,高松法務局管内,愛媛県,38,kuwanauchi38ehime
39,moj-39kochi,39高知県,四国地方,高松法務局管内,高知県,39,kuwanauchi39kochi
40,moj-40fukuoka,40福岡県,九州・沖縄地方,福岡法務局管内,福岡県,40,kuwanauchi40fukuoka
41,moj-41saga,41佐賀県,九州・沖縄地方,福岡法務局管内,佐賀県,41,kuwanauchi41saga
42,moj-42nagasaki,42長崎県,九州・沖縄地方,福岡法務局管内,長崎県,42,kuwanauchi42nagasaki
43,moj-43kumamoto,43熊本県,九州・沖縄地方,福岡法務局管内,熊本県,43,kuwanauchi43kumamoto
44,moj-44oita,44大分県,九州・沖縄地方,福岡法務局管内,大分県,44,kuwanauchi44oita
45,moj-45miyazaki,45宮崎県,九州・沖縄地方,福岡法務局管内,宮崎県,45,kuwanauchi45miyazaki
46,moj-46kagoshima,46鹿児島県,九州・沖縄地方,福岡法務局管内,鹿児島県,46,kuwanauchi46kagoshima
47,moj-47okinawa,47沖縄県,九州・沖縄地方,福岡法務局管内,沖縄県,47,kuwanauchi47okinawa
